,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,Sociální služby města Moravská Třebová,29685864,194263,19.12.2024,"148 755,37 CZK","179 994,00 CZK",Kupní smlouva Apos - povlečení,"[{'název': 'bavlněné povlečení — Bluemoon zelený', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné povlečení — Bluemoon nugát', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné povlečení — Slezsko zelené', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné povlečení — kvítí terracota na bílém', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné povlečení — malé růže červené', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné povlečení — malé růže modré', 'množství': 10, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické obálkového střihu, zelené', 'množství': 61, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické obálkového střihu, žluté', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické napínací, zelené', 'množství': 3, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické napínací, bílé', 'množství': 3, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické napínací, žluté', 'množství': 3, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo elastické napínací, bílé 200/120', 'množství': 3, 'cena bez DPH': None, 'cena s DPH': None}]",31714316,Apos Brno
1,"Domov pro seniory Okružní, příspěvková organizace",29667384,70887250,20.12.2024,"62 472,90 CZK","75 591,00 CZK",Objednávka elastických prostěradel,"[{'název': 'elastická prostěradla obálkového střihu', 'množství': 160, 'cena bez DPH': 62472.9, 'cena s DPH': 75591.0}]",31694788,Apos Brno
2,Domov důchodců Dvůr Králové nad Labem,29633160,194964,11.12.2024,,"130 535,00 CZK",Objednávka podložek,"[{'název': 'Podložka DERMACARE 90x90 se záhyby', 'množství': 200, 'cena bez DPH': 130535, 'cena s DPH': 130535}]",31658700,Apos Brno
3,"Domov Pod Kavčí Skálou, poskytovatel sociálních služeb",29633204,71229078,10.12.2024,"47 306,00 CZK","57 242,98 CZK","Apos zdravotních výbav pro klienty - rehapomůcky, výbavy postelí","[{'název': 'Podložka na křesla 45x45 cihlová', 'množství': 10, 'cena bez DPH': 323.4, 'cena s DPH': 3913.14}, {'název': 'SMART elastické napínací prostěradlo bílé', 'množství': 15, 'cena bez DPH': 386.4, 'cena s DPH': 5796.0}, {'název': 'Pacientská košile anděl', 'množství': 10, 'cena bez DPH': 188.0, 'cena s DPH': 2274.8}, {'název': 'Polohovací podložka DUO + s absorpční vrstvou', 'množství': 20, 'cena bez DPH': 464.55, 'cena s DPH': 11242.11}, {'název': 'Chránič oděvu velký', 'množství': 5, 'cena bez DPH': 319.6, 'cena s DPH': 1598.0}, {'název': 'Ochranné polstrování SMART elastické napínací prostěradlo bílé 200/120', 'množství': 15, 'cena bez DPH': 517.15, 'cena s DPH': 9386.27}, {'název': 'Bavlněné povlečení - max pudrový (nitěný knoflík)', 'množství': 25, 'cena bez DPH': 506.2, 'cena s DPH': 15312.55}]",31658756,Apos Brno
4,Domov se zvláštním režimem Krásná Lípa,29632868,70872741,21.12.2024,"109 575,20 CZK","132 586,00 CZK","Objednávka (smlouva) Pytle polyesterové se šňůrkou v počtu 360 kusů prádelna, Čelakovského 317/9, Krásná Lípa, 407 46.","[{'název': 'pytle polyesterové se šňůrkou', 'množství': 360, 'cena bez DPH': 109575.2, 'cena s DPH': None}]",31658376,Apos Brno
5,Domov u fontány,29602080,71176225,13.12.2024,"74 498,35 CZK","90 143,00 CZK",Dodání 40 párů ochran postranic,"[{'název': 'ochran postranic', 'množství': 40, 'cena bez DPH': None, 'cena s DPH': 90143}]",31626040,Apos Brno
6,"Domov Hrubá Voda, příspěvková organizace",29574900,75004399,12.12.2024,"284 364,00 CZK","344 081,00 CZK","Vážení,  na základě Vámi zaslané cenové nabídky č. VN242787 u Vás objednáváme přikrývky, polštáře, povlečení, které je uvedené na objednávce.  Celková cena bez DPH činí 284 364,-Kč. Cena včetně DPH činí 344 081,-Kč.","[{'název': 'přikrývky', 'množství': None, 'cena bez DPH': 284364, 'cena s DPH': 344081}, {'název': 'polštáře', 'množství': None, 'cena bez DPH': 284364, 'cena s DPH': 344081}, {'název': 'povlečení', 'množství': None, 'cena bez DPH': 284364, 'cena s DPH': 344081}]",31597352,Apos Brno
7,"Domov pod Vinnou horou, příspěvková organizace",29554008,71295046,28.11.2024,,"99 961,00 CZK",Nákup ložního povlečení,"[{'název': 'krepové ložní povlečení', 'množství': 130, 'cena bez DPH': 769.7, 'cena s DPH': 935.0}]",31575428,Apos Brno
8,"Rýchorské domovy sociální péče, příspěvková organizace",29528788,195022,20.12.2024,"357 543,80 CZK","432 628,00 CZK",Centrální systém klient - sestra,"[{'název': 'Centrální řídící panel s centrální řídící pan CRPTS', 'množství': 1, 'cena bez DPH': 42360.0, 'cena s DPH': 51255.6}, {'název': 'Nástěnná signal. jednotka, tl. nástěnné tlačítko k CT', 'množství': 46, 'cena bez DPH': 151018.0, 'cena s DPH': 182731.78}, {'název': 'Nástěnná signalizační jednotka/WC nástěnné tlačítko s CT', 'množství': 11, 'cena bez DPH': 3078.0, 'cena s DPH': 38968.18}, {'název': 'Zesilovač signálu - repeater komplet', 'množství': 1, 'cena bez DPH': 11343.0, 'cena s DPH': 13725.03}, {'název': 'Pager Spok 7950V2', 'množství': 8, 'cena bez DPH': 4854.0, 'cena s DPH': 38832.0}, {'název': 'Signalizační tlačítko přenosné náramkové', 'množství': 5, 'cena bez DPH': 4095.0, 'cena s DPH': 20475.0}, {'název': 'Prostorový RF snímač', 'množství': 1, 'cena bez DPH': 12390.0, 'cena s DPH': 14991.9}, {'název': 'Programování prog', 'množství': 19.1, 'cena bez DPH': 839.98, 'cena s DPH': 16043.66}]",31549204,Apos Brno
9,Domov pod Kuňkou,28802292,71176217,29.10.2024,,,Objednávka povlečení,"[{'název': 'Krepové povlečení - Bruno šedý', 'množství': 10, 'cena bez DPH': 628.9, 'cena s DPH': 760.017}, {'název': 'Elastický potah na matraci (potah na matraci 100)', 'množství': 12, 'cena bez DPH': 1096, 'cena s DPH': 1315.92}, {'název': 'Zásilkové výdaje (POB)', 'množství': 5, 'cena bez DPH': 127, 'cena s DPH': 153.67}]",31522864,Apos Brno
10,Městská správa sociálních služeb Kadaň,29445352,65642481,16.12.2024,"89 808,00 CZK","90 958,00 CZK",Nákup ložního prádla,"[{'název': 'Krepové povlečení — starorůžová', 'množství': 30, 'cena bez DPH': 761, 'cena s DPH': 761}, {'název': 'Krepové povlečení — šedo- modrá', 'množství': 30, 'cena bez DPH': 761, 'cena s DPH': 761}, {'název': 'Bavlněné povlečení — peříčka — fialová', 'množství': 30, 'cena bez DPH': 651.6, 'cena s DPH': 651.6}, {'název': 'Bavlněné povlečení — mentolová peříčka', 'množství': 30, 'cena bez DPH': 651.6, 'cena s DPH': 651.6}, {'název': 'Deka mikroplyš — mandlová', 'množství': 15, 'cena bez DPH': 337, 'cena s DPH': 337}, {'název': 'Doručení', 'množství': None, 'cena bez DPH': 1150, 'cena s DPH': 1150}]",31461412,Apos Brno
