,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,Dodavatel,ID verze
0,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,29418248,61383082,16.12.2024,"70 800,00 CZK",,OBJ-SVM2401543,"[{'název': 'PROSTĚRADLO napínací jersey 100 x 200 cm /zelené', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,31433004
1,"Domov Březiny, příspěvková organizace",29160744,847348,27.11.2024,"388 541,17 CZK","470 135,82 CZK",Objednávka ložního prádla č.100/2024,"[{'název': 'Povlak na peřinu 140x200cm na knoflíky tisk', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 796.18}, {'název': 'Povlak na polštář 70x90cm na knoflíky tisk', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 227.48}, {'název': 'Inkontinenční podložka 75x90cm bez záložky', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 411.4}, {'název': 'Polštář 70x90cm/náplň kuličky/90 stupňů', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 364.21}, {'název': 'Peřina 135x200cm praní 95 stupňů', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 594.11}, {'název': 'Deka uni beránek/mikro 140x200cm', 'množství': 154, 'cena bez DPH': None, 'cena s DPH': 659.45}]",Lutema care,31163000
2,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,29122628,61383082,25.11.2024,"108 900,00 CZK",,OBJ-SVM2401409,"[{'název': 'POVLAK na polštář 70 x 90 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'POVLAK na přikrývku 140 x 200 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,31122192
3,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,29081436,61383082,21.11.2024,"38 200,00 CZK",,OBJ-SVM2401356,"[{'název': 'PROSTĚRADLO 145 x 200 cm /bílé', 'množství': None, 'cena bez DPH': 38200, 'cena s DPH': 46222}]",Lutema care,31078924
4,"Domov Březiny, příspěvková organizace",28748224,847348,29.10.2024,"101 330,00 CZK","122 609,30 CZK",Nákup ložního prádla a lůžkovin,"[{'název': 'Utěrka 50x70cm, praní na 90 stupňů', 'množství': 30, 'cena bez DPH': None, 'cena s dph': 47.19}]",Lutema care,30728624
5,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,28453840,61383082,03.10.2024,"108 900,00 CZK",,OBJ-SVM2401157,"[{'název': 'POVLAK na polštář 70 x 90 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'POVLAK na přikrývku 140 x 200 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",Lutema care,30401744
6,"Domov seniorů Hranice, příspěvková organizace",28330224,70876541,04.09.2024,"81 400,00 CZK","98 494,00 CZK",objednávka - inkontinenční podložka - 200 ks,"[{'název': 'inkontinenční podložka', 'množství': 200, 'cena bez DPH': None, 'cena s dph': None}]",Lutema care,30272796
7,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,28054904,61383082,02.09.2024,"108 900,00 CZK",,OBJ-SVM2401045,"[{'název': 'POVLAK na polštář 70 x 90 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'POVLAK na přikrývku 140 x 200 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,29983892
8,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,27914396,61383082,18.08.2024,"179 700,00 CZK",,OBJ-SVM2400931,"[{'název': 'POVLAK na polštář 70 x 90 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'POVLAK na přikrývku 140 x 200 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'PROSTĚRADLO napínací jersey 100 x 200 cm /zelené', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,29836444
9,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,27797820,61383082,06.08.2024,"99 120,00 CZK",,OBJ-SVM2400859,"[{'název': 'PROSTĚRADLO napínací jersey 100 x 200 cm /zelené', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'PROSTĚRADLO napínací jersey 100 x 200 cm /žluté', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,29713352
10,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,27345564,61383082,24.06.2024,"108 900,00 CZK",,OBJ-SVM2400766,"[{'název': 'POVLAK na polštář 70 x 90 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'POVLAK na přikrývku 140 x 200 cm /zelený', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,29237580
11,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,26764239,61383082,06.05.2024,"2 525 222,00 CZK",,Kupní - ostatní smlouvy,"[{'název': 'ložní prádlo', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Lutema care,28633499
12,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",25392515,70631859,28.12.2023,,"112 506,77 CZK",Objednávka - inkontinenční podložky,"[{'název': 'Podložka inkontinenční podštitá', 'množství': 132, 'cena bez DPH': 704.4, 'cena s dph': None}]",Lutema care,27192471
13,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",25392227,70631859,28.12.2023,,"440 000,00 CZK",Objednávka - ochranné pracovní pomůcky,"[{'název': 'Kalhoty pánské PETR bílé', 'množství': 25, 'cena bez DPH': None, 'cena s dph': None}]",Lutema care,27192167
14,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",25303463,70631859,20.12.2023,,"96 681,42 CZK",Objednávka - povlakyy na peřiny a polštáře,"[{'název': 'Povlak na peřinu 140x200cm', 'množství': 135, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Povlak na polštář 70x90cm', 'množství': 138, 'cena bez DPH': None, 'cena s dph': None}]",Lutema care,27098259
15,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,25186475,61383082,19.12.2023,"294 930,00 CZK",,OBJ-SVM2301274,"[{'název': 'TRIČKO pánské tmavě modré pro VLČÍ MÁK - DSZR pav.B', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile pánská (tm.modrá) s náprsní kapsou, logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsní kapse - velikost M', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile pánská (tm.modrá) s náprsní kapsou, logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsní kapse - velikost L', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile pánská (tm.modrá) s náprsní kapsou, logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsní kapse - velikost XL', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'TRIČKO dámské bílé pro VLČÍ MÁK - DSZR pav.B', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (bílá), logo ÚVN tmavě modré na levém rukávu, logo Vlčí mák na levé náprsence - velikost S', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (bílá), logo ÚVN tmavě modré na levém rukávu, logo Vlčí mák na levé náprsence - velikost M', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (bílá), logo ÚVN tmavě modré na levém rukávu, logo Vlčí mák na levé náprsence - velikost L', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (bílá), logo ÚVN tmavě modré na levém rukávu, logo Vlčí mák na levé náprsence - velikost XL', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'TRIČKO dámské tmavě modré pro VLČÍ MÁK - DSZR pav.B', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (tm.modrá), logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsence - velikost S', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (tm.modrá), logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsence - velikost M', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (tm.modrá), logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsence - velikost L', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polokošile dámská (tm.modrá), logo ÚVN bílé na levém rukávu, logo Vlčí mák na levé náprsence - velikost XL', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",Lutema care,26973259
16,"Domov Březiny, příspěvková organizace",24521863,847348,27.10.2023,"107 370,00 CZK","129 917,70 CZK",Dodání ložního a provozního prádla,"[{'název': 'Utěrka kostka', 'množství': 140, 'cena bez DPH': None, 'cena s DPH': 38.72}, {'název': 'Povlak na polštář 70x90cm na knoflíky KREP tisk, dezén 9437 – 14', 'množství': 32, 'cena bez DPH': None, 'cena s DPH': 176.66}, {'název': 'Povlak na peřinu 140x200cm na knoflíky KREP tisk, dezén 9437 – 14', 'množství': 32, 'cena bez DPH': None, 'cena s DPH': 620.73}, {'název': 'Povlak na polštář 70x90cm na knoflíky KREP tisk, dezén 9307 – 4', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 176.66}, {'název': 'Povlak na peřinu 140x200cm na knoflíky KREP tisk, dezén 9307 – 4', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 620.73}]",Lutema care,26252511
