,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,Dodavatel,ID verze
0,"Sociální služby pro seniory Šumperk, příspěvková organizace",29551332,75004011,20.12.2024,"145 170,00 CZK","175 655,70 CZK","Nákup prádla: 30 ks pytel na použité prádlo, 350 ks podložka froté.","[{'název': None, 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]","OTEX, chráněná dílna s.r.o.",31572552
1,"Střední odborná škola, Šumperk, Zemědělská 3",27699792,852384,27.06.2024,"9 072,00 CZK","10 977,00 CZK","Kupní smlouva včetně dodatku č. 1 - ložní povlečení, prostěradla, ručníky.Dodatkem se navyšuje kupní cena poblečení o 14 ks = 10.977,- včetně DPH.","[{'název': 'Ruční froté, 100% ba, 50 x 100 cm, 430 g/m2 — barva kiwi zelená', 'množství': 25, 'cena bez DPH': 98, 'cena s dph': None}, {'název': 'Ruční froté, 100% ba, 50 x 100 cm, 430 g/m2 — barva fuchsie', 'množství': 25, 'cena bez DPH': 98, 'cena s dph': None}, {'název': 'Napínací prostěradlo Jersey 90 x 200, vysoká gramáž, výška matrace 15 cm, vzor č. 57 — kapučíno', 'množství': 70, 'cena bez DPH': 323, 'cena s dph': None}]","OTEX, chráněná dílna s.r.o.",29609816
2,"Střední odborná škola, Šumperk, Zemědělská 3",27597980,852384,27.06.2024,"72 870,00 CZK","88 173,00 CZK","Kupní smlouva na dodávku povlečení, prostěradel a ručníků na domov mládeže školy.","[{'název': 'Ložní souprava — vzor 9408-62-514', 'množství': 70, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ruční froté, barva kiwi zelená', 'množství': 25, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ruční froté, barva fuchsie', 'množství': 25, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Napínací prostěradlo Jersey, vzor č. 57 — kapučíno', 'množství': 70, 'cena bez DPH': None, 'cena s dph': None}]","OTEX, chráněná dílna s.r.o.",29502504
3,"Sociální služby pro seniory Šumperk, příspěvková organizace",25353887,75004011,29.12.2023,"92 014,00 CZK","111 336,94 CZK","Nákup prádla na II. pavilon - utěrky, ručníky, bryndáky, pytle na prádlo, froté podložky.","[{'název': '3A + 3 - II.pavilon', 'množství': 442, 'cena bez DPH': None, 'cena s dph': '336,94 Kč'}]","OTEX, chráněná dílna s.r.o.",27151287
4,"Sociální služby Uherské Hradiště, příspěvková organizace",24403403,92096,17.10.2023,"119 490,00 CZK",,Kupní smlouva na dodávku přikrývek,"[{'název': 'Přikrývka z dutého vlákna, prošívaná, rozměr 140 x 200 cm, potah plátno bílé (100% BA), náplň rouno (100% PES)', 'množství': 210, 'cena bez DPH': 119490.0, 'cena s DPH': 144582.9}]","OTEX, chráněná dílna s.r.o.",26127879
5,"Střední odborná škola, Šumperk, Zemědělská 3",23478759,852384,12.05.2023,"45 396,00 CZK","54 929,16 CZK",Kupní smlouva na dodávku ložního povlečení a prostěradel na domov mládeže školy.,"[{'název': 'Ložní souprava — vzor 9223-45-280', 'množství': 26, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava — vzor 9417-31-411', 'množství': 13, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava — vzor 214788-52-588', 'množství': 13, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Napínací prostěradlo Jersey 90 x 200 — vzor 57', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]","OTEX, chráněná dílna s.r.o.",25159055
6,"Sociální služby pro seniory Šumperk, příspěvková organizace",21397605,75004011,28.12.2022,"158 459,00 CZK","191 735,39 CZK","Nákup 410 ks prostěradlo froté, 23 ks pytel na použité prádlo, 54 ks podložka zdravotní, 50 ks prostěradlo bavlna.","[{'název': 'Pytel na použité prádlo 67 x 116', 'množství': 23, 'cena bez DPH': None, 'cena s dph': '277,09 Kč'}, {'název': 'Podložka zdravotní, 100% ba, plátno - bílá - 140x170 cm', 'množství': 54, 'cena bez DPH': None, 'cena s dph': '209,33 Kč'}, {'název': 'Prostěradlo 100% bavlna, bílá 140x240 cm', 'množství': 50, 'cena bez DPH': None, 'cena s dph': '256,52 Kč'}]","OTEX, chráněná dílna s.r.o.",22963769
7,"Sociální služby pro seniory Šumperk, příspěvková organizace",21335193,75004011,27.12.2022,"290 250,00 CZK","351 202,50 CZK","Prostěradla froté barevná 360 ks, podložky zdravotní bílé 450 ks, prostěradla bavlněná bílá 450 ks.","[{'název': 'Prostěradlo napínací froté, 90 x 200, výška matrace 20 cm, 60 ks žlutá, 60 ks zelená, 60 ks růžová, 60 ks modrá, 60 ks bílá káva, 60 ks bílá', 'množství': 360, 'cena bez DPH': None, 'cena s dph': '393,25 Kč'}, {'název': 'podložka zdravotní, 100% ba, plátno - bílá - 140x170 cm', 'množství': 450, 'cena bez DPH': None, 'cena s dph': '209,33 Kč'}, {'název': 'prostěradlo 100% bavlna, bílá 140x240 cm', 'množství': 450, 'cena bez DPH': None, 'cena s dph': '256,52 Kč'}]","OTEX, chráněná dílna s.r.o.",22897305
8,"Sociální služby pro seniory Šumperk, příspěvková organizace",20959809,75004011,25.11.2022,"398 555,00 CZK","482 251,55 CZK","Prostěradla froté 310 ks, deky mikroplyš 40 ks, bryndáky 180 ks, ručníky 105 ks, osušky 150 ks, utěrky 40 ks, podložky zdravotní 200 ks, podložky froté 330 ks, prostěradla bavlna 150 ks, pytle na prádlo 40 ks, polštáře 40 ks, přikrý","[{'název': 'prostěradlo napínací froté, výška matrace 20 cm', 'množství': 310, 'cena bez DPH': None, 'cena s dph': 393.25}, {'název': 'deka mikroplyšová 150x200', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 677.6}, {'název': 'bryndák froté - 100%bavlna', 'množství': 180, 'cena bez DPH': None, 'cena s dph': 235.95}, {'název': 'ručník froté 50x100 cm', 'množství': 105, 'cena bez DPH': None, 'cena s dph': 111.32}, {'název': 'osuška froté 70x140', 'množství': 150, 'cena bez DPH': None, 'cena s dph': 179.08}, {'název': 'utěrka', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 87.12}, {'název': 'podložka zdravotní, 100% ba, plátno 140x170 cm', 'množství': 200, 'cena bez DPH': None, 'cena s dph': 209.33}, {'název': 'podložka froté + PUR zátěr 100x140 cm', 'množství': 330, 'cena bez DPH': None, 'cena s dph': 347.27}, {'název': 'prostěradlo 100% bavlna, 140x240 cm', 'množství': 150, 'cena bez DPH': None, 'cena s dph': 256.52}, {'název': 'pytel na prádlo 72x112 cm', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 277.09}, {'název': 'polštář duté vlákno 70x90 cm', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 435.6}, {'název': 'přikrývka duté vlákno 140x200', 'množství': 30, 'cena bez DPH': None, 'cena s dph': 689.7}, {'název': 'ubrus tm.modrý 50x50', 'množství': 5, 'cena bez DPH': None, 'cena s dph': 105.27}, {'název': 'ubrus teflon bílý 100x180', 'množství': 5, 'cena bez DPH': None, 'cena s dph': 392.04}, {'název': 'ubrus vánoční 120x140 vánoční srdce a hvězda', 'množství': 5, 'cena bez DPH': None, 'cena s dph': 421.08}]","OTEX, chráněná dílna s.r.o.",22498017
9,"Domov pro seniory Třebíč, Koutkova - Kubešova, příspěvková organizace",20905525,71184538,22.11.2022,"82 364,00 CZK","99 660,00 CZK",Nákup souprav ložního povlečení a napínacích prostěradel,"[{'název': 'ložní povlečení Dezén č. 9231', 'množství': 80, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'ložní povlečení Dezén č. 9328', 'množství': 40, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'napínací prostěradla (barva béžová nebo světle žlutá) výška matrace 20 cm', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}]","OTEX, chráněná dílna s.r.o.",22441825
