,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,Střední škola hotelová a služeb Kroměříž,28950932,47934832,01.11.2024,"91 800,00 CZK",,180 ks povlečení krep 140x200 na Domov mládeže školy.,"[{'název': 'povlečení krep 140x200', 'množství': 180, 'cena bez DPH': 510, 'cena s DPH': None}]",30941040,Polášek Holešov s.r.o.
1,"Domov pro seniory Lukov, příspěvková organizace",28668948,70850941,22.10.2024,,"323 808,10 CZK","Kupní smlouva - peřiny, povlečení","[{'název': 'PU prostěradlo nepropustné, prodyšné bí', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 471}, {'název': 'Povlak Loneta č. 19 (40x40)', 'množství': 18, 'cena bez DPH': None, 'cena s DPH': 90.75}, {'název': 'Polštář velký výplň Petra (70x90)', 'množství': 130, 'cena bez DPH': None, 'cena s DPH': 701}, {'název': 'Výplň duté vlákno kulička (40x40)', 'množství': 90, 'cena bez DPH': None, 'cena s DPH': 114.95}, {'název': 'Povlečení bavlna 5752-13 (140x90, 70x90)', 'množství': 60, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlečení bavlna 5752-14 (140x90,70x90)', 'množství': 14, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlečení Lenka šedá (140x90,70x90)', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlečení Lenka béžová (140x90,70x90)', 'množství': 24, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlečení bavlna 5752-17 (140x90,70x90)', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlečení bavlna 5752-22 (140x90,70x90)', 'množství': 25, 'cena bez DPH': None, 'cena s DPH': 447.7}, {'název': 'Povlak Loneta č. 16 (40x40)', 'množství': 150, 'cena bez DPH': None, 'cena s DPH': 90.75}, {'název': 'Utěrky Egypt č.22', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 133.1}, {'název': 'Utěrky Egypt č.58', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 133.1}, {'název': 'Utěrky Egypt č.46', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 133.1}, {'název': 'Přikrývky Standard Petra (celoroční)', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': 883.3}]",30642288,Polášek Holešov s.r.o.
2,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,25912583,64422402,22.02.2024,"281 500,00 CZK","340 615,00 CZK","Dodávka přikrývek, polštářů a povlečení na r. 2024","[{'název': 'Prostěradlo bílé', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Povlečení kapna bílá', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Povlečení kapna', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Povlečení polštář bílý', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Povlečení souprava kapna + polštář krep barevný', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Přikrývka prošívaná duté vlákno', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Polštář prošívaný kuličky', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",27741375,Polášek Holešov s.r.o.
3,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,25240071,64422402,21.12.2023,"125 200,00 CZK","151 492,00 CZK",Dodávka prostěradel a povlečení na r. 2023 - 2,"[{'název': 'Prostěradlo bílé', 'množství': None, 'cena bez DPH': '185,00 Kč', 'cena s DPH': None}, {'název': 'Prostěradlo barevné', 'množství': None, 'cena bez DPH': '204,00 Kč', 'cena s DPH': None}, {'název': 'Povlečení kapna', 'množství': None, 'cena bez DPH': '290,00 Kč', 'cena s DPH': None}]",27031631,Polášek Holešov s.r.o.
4,"Centrum pro seniory, příspěvková organizace",25128039,47934531,11.12.2023,"50 700,00 CZK","61 347,00 CZK",Prosteradlo,"[{'název': 'Prostěradlo FR 100x200', 'množství': 100, 'cena bez DPH': 27700, 'cena s DPH': 33517}, {'název': 'Prostěradlo BA 140x160', 'množství': 200, 'cena bez DPH': 23000, 'cena s DPH': 27830}]",26907447,Polášek Holešov s.r.o.
5,"Centrum pro seniory, příspěvková organizace",25128007,47934531,07.11.2023,"70 695,04 CZK","85 541,00 CZK","Prosteradlo, Ubrus","[{'název': 'Prostěradlo FR 100x200', 'množství': 200, 'cena bez DPH': 27700, 'cena s DPH': 67034}, {'název': 'Prostěradlo BA 140x160', 'množství': 50, 'cena bez DPH': 11500, 'cena s DPH': 695750}, {'název': 'Prostěradlo jersey 100x200', 'množství': 10, 'cena bez DPH': 24500, 'cena s DPH': 29645}, {'název': 'Ubrus TFL 140x220', 'množství': 7, 'cena bez DPH': 38500, 'cena s DPH': 32609.5}, {'název': 'Ubrus TFL 120x120', 'množství': 20, 'cena bez DPH': 22000, 'cena s DPH': 53240}]",26907395,Polášek Holešov s.r.o.
6,"Domov pro seniory Lukov, příspěvková organizace",24199027,70850941,29.09.2023,,"120 819,00 CZK",Kupní smlouva,"[{'název': 'povlaky 40 x 40 cm barevný', 'množství': 130, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'výplně 40 x 40 cm', 'množství': 80, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'polštář Petra 70 x 90 cm', 'množství': 150, 'cena bez DPH': None, 'cena s DPH': None}]",25913587,Polášek Holešov s.r.o.
7,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,21871493,64422402,16.02.2023,"299 240,00 CZK","362 080,40 CZK","Dodávka přikrývek, polštářů a povlečení na rok 2023","[{'název': 'Chránič matrace', 'množství': None, 'cena bez DPH': '216,00 Kč', 'cena s DPH': None}, {'název': 'Prostěradlo', 'množství': None, 'cena bez DPH': '185,00 Kč', 'cena s DPH': None}, {'název': 'Povlečení + polštáře', 'množství': None, 'cena bez DPH': '253,33 Kč', 'cena s DPH': None}, {'název': 'Přikrývka duté vlákno', 'množství': None, 'cena bez DPH': '485,00 Kč', 'cena s DPH': None}, {'název': 'Polštář kuličky', 'množství': None, 'cena bez DPH': '285,00 Kč', 'cena s DPH': None}]",23466121,Polášek Holešov s.r.o.
8,Dům sociálních služeb Návojná,20532193,70850852,17.10.2022,"39 958,70 CZK","48 350,00 CZK","Objednávka polštářů, povlaků, ručníků a dek","[{'název': 'Polštář Standart 70x90', 'množství': 30, 'cena bez DPH': 440, 'cena s DPH': None}, {'název': 'polštář kuličky 40x40', 'množství': 20, 'cena bez DPH': 105, 'cena s DPH': None}, {'název': 'povlak puntík šedý 40x40', 'množství': 20, 'cena bez DPH': 90, 'cena s DPH': None}, {'název': '58', 'množství': 10, 'cena bez DPH': 880, 'cena s DPH': None}, {'název': 'č. 31', 'množství': 10, 'cena bez DPH': 880, 'cena s DPH': None}]",22049561,Polášek Holešov s.r.o.
9,Dům sociálních služeb Návojná,20532177,70850852,17.10.2022,"39 958,70 CZK","48 350,00 CZK","Objednávka polštářů, povlaků, ručníků a dek","[{'název': 'Polštář Standart 70x90', 'množství': 30, 'cena bez DPH': 440, 'cena s dph': None}, {'název': 'polštář kuličky 40x40', 'množství': 20, 'cena bez DPH': 105, 'cena s dph': None}, {'název': 'povlak puntík šedý 40x40', 'množství': 20, 'cena bez DPH': 90, 'cena s dph': None}, {'název': '58', 'množství': 10, 'cena bez DPH': 880, 'cena s dph': None}, {'název': 'č. 31', 'množství': 10, 'cena bez DPH': 880, 'cena s dph': None}]",22049545,Polášek Holešov s.r.o.
