,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,Dodavatel,ID verze
0,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",25392563,70631859,28.12.2023,,"70 000,00 CZK",Objednávka - mikroplyšová deka,"[{'název': 'Mikroplyšová deka Exclusive s beránkem - hnědá 140x200cm', 'množství': 66, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Mikroplyšová deka Exclusive - béžová 150x200cm', 'množství': 66, 'cena bez DPH': None, 'cena s dph': None}]",Ramret,27192523
1,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",21496069,70631859,30.12.2022,"110 000,00 CZK",,Objednávka - dodání OOPP pro zaměstnace,"[{'název': 'operační haleny 100% Bavlna', 'množství': 126, 'cena bez DPH': 415, 'cena s dph': None}, {'název': 'kalhoty 100% Bavlna', 'množství': 126, 'cena bez DPH': 432, 'cena s dph': None}]",Ramret,23068341
2,"Domov Březiny, příspěvková organizace",20306605,847348,29.09.2022,"55 772,26 CZK","62 520,70 CZK",Dodávka ložního prádla,"[{'název': 'Prostěradlo obálkové „JERSEY“ světlé žluté', 'množství': 60, 'cena bez DPH': None, 'cena s DPH': 332.75}, {'název': 'Prostěradlo bavlna modré', 'množství': 40, 'cena bez DPH': None, 'cena s DPH': 255.31}, {'název': 'Prostěradlo obálkové „JERSEY“ žluté', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 332.75}, {'název': 'Prostěradlo obálkové „JERSEY“ zelené', 'množství': 25, 'cena bez DPH': None, 'cena s DPH': 332.75}, {'název': 'Prostěradlo bavlna žluté', 'množství': 55, 'cena bez DPH': None, 'cena s DPH': 255.31}]",Ramret,21813365
3,"Domov Březiny, příspěvková organizace",20306425,847348,27.09.2022,"79 160,00 CZK","95 783,60 CZK",Dodávka ložního prádla,"[{'název': 'peřina', 'množství': 125, 'cena bez DPH': None, 'cena s DPH': 516.67}, {'název': 'polštář', 'množství': 135, 'cena bez DPH': None, 'cena s DPH': 231.11}]",Ramret,21813157
4,"Domov Březiny, příspěvková organizace",20092427,847348,30.08.2022,"102 104,00 CZK","123 547,00 CZK",Objednávka na dodání lůžkovin,"[{'název': 'Inkontinentní podložka 75x90 cm', 'množství': 90, 'cena bez DPH': None, 'cena s dph': 588.06}, {'název': 'Polštář 70x90cm', 'množství': 112, 'cena bez DPH': None, 'cena s dph': 332.75}, {'název': 'Peřina 135x200cm', 'množství': 32, 'cena bez DPH': None, 'cena s dph': 573.54}, {'název': 'Deka mikrovlákno 210x130cm', 'množství': 30, 'cena bez DPH': None, 'cena s dph': 500.0}]",Ramret,21587211
5,"Domov seniorů Hranice, příspěvková organizace",19433063,70876541,28.06.2022,"80 000,00 CZK","96 800,00 CZK",Akceptace objednávky - podložky inkontinenční,"[{'název': 'podložka inkontinenční 75x90cm', 'množství': 200, 'cena bez DPH': None, 'cena s dph': None}]",Ramret,20888763
6,"Domov seniorů Hranice, příspěvková organizace",18703679,70876541,19.04.2022,"64 300,00 CZK","77 803,00 CZK",Akceptace objednávky - inkon. podložky,"[{'název': 'inkontinenční podložka', 'množství': 100, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'chránič oděvů na druky', 'množství': 150, 'cena bez DPH': None, 'cena s dph': None}]",Ramret,20102623
7,"Domov seniorů Havířov, příspěvková organizace",14763463,75139243,16.03.2021,"49 752,00 CZK","60 200,00 CZK",Objednávka 9/5/21/1 - inkontinenční podložky pro stř. Luna,"[{'název': 'inkontinenční podložka 75x90cm', 'množství': 200, 'cena bez DPH': 301.0, 'cena s dph': None}]",Ramret,15873311
8,"Domov Vítkov, příspěvková organizace",14036747,71196951,21.12.2020,,"102 670,01 CZK",objednávka 70_20 inko podložky s madly,"[{'název': 'Inkontinenční podložka 75x90cm celopodšitá se záložkou a madly', 'množství': 165, 'cena bez DPH': 514.25, 'cena s DPH': 102670.01}]",Ramret,15075395
9,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,11303900,61383082,07.04.2020,"234 958,68 CZK",,OBJ-SVM2000385,"[{'název': 'JEDNORÁZOVÉ PLÁŠTĚNKY - kabátek - CoVid19', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",Ramret,12158032
10,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,11303884,61383082,07.04.2020,"123 857,43 CZK",,OBJ-SVM2000316,"[{'název': 'dezinfekč.prostředek 100ml - FKSP', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'dezinfekč.prostředek 30ml - FKSP', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'dezinfekč.prostředek 60ml - FKSP', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",Ramret,12158016
11,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,11303896,61383082,07.04.2020,"99 090,91 CZK",,OBJ-SVM2000381,"[{'název': 'JEDNORÁZOVÁ ČEPICE netkaná textílie - CoVid19', 'množství': None, 'cena bez DPH': 99090.91, 'cena s dph': 119900.0}]",Ramret,12158028
12,"Domov seniorů Havířov, příspěvková organizace",10261212,75139243,06.12.2019,"53 719,00 CZK","65 000,00 CZK",Objednávka 765 - dodávka 200 ks inkontinenčních podložek pro stř. Luna,"[{'název': 'inkontinenční podložka 75x90', 'množství': 200, 'cena bez DPH': None, 'cena s dph': 325.0}]",Ramret,11036316
