,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,Městské centrum sociálně rehabilitačních služeb - domov pro seniory,29616532,48344958,11.12.2024,,"69 393,50 CZK","Dodání ložních souprav - povlečení ,polštáře, přikrývky","[{'název': 'Ložní souprava KREP', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo Jersey', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Přikrývka MIKRA 140x200', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polštář MIKRA 70x90', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Absorpční podložka 75x90 + křídla', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Absorpční podložka 75x90 základní', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",31641100,Sc professional
1,"Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje",29375196,27256391,02.12.2024,,"99 825,00 CZK",Objednávka - HTS 390/24 ložní prádlo,"[{'název': 'prostěradlo 160x290', 'množství': 250, 'cena bez DPH': 205, 'cena s dph': None}, {'název': 'podložka 150x180', 'množství': 250, 'cena bez DPH': 125, 'cena s dph': None}]",31387680,Sc professional
2,Palata,29151080,70872783,26.11.2024,"105 895,00 CZK","128 132,00 CZK",objednávka - ložní prádlo,"[{'název': 'Ložní soupravy na jednotlivé úseky', 'množství': None, 'cena bez DPH': '105895.00 Kč', 'cena s dph': '128132.00 Kč'}]",31152892,Sc professional
3,Domov pro seniory Háje,29011916,70875111,15.11.2024,"92 380,00 CZK",,Objednávka plátěných prostěradel,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",31005668,Sc professional
4,"Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje",28605700,27256391,10.10.2024,,"110 412,50 CZK",Objednávka - HTS 310/24,"[{'název': 'povlak — kapna bílá 140x200cm', 'množství': 250, 'cena bez DPH': 280, 'cena s DPH': None}, {'název': 'povlak — polštář bílý 90x70cm', 'množství': 250, 'cena bez DPH': 85, 'cena s DPH': None}]",30572344,Sc professional
5,Senior-dům Soběslav,28483288,70920567,07.10.2024,"108 400,00 CZK","131 164,00 CZK","ložní souprava,prostěradlo, ručník","[{'název': 'ložní souprava 1+1', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo Jersey+Lycra', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'froté ručník 50 x 100 cm', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}]",30433752,Sc professional
6,"Psychiatrická léčebna Petrohrad, příspěvková organizace",28459572,829137,04.10.2024,"65 100,00 CZK","78 771,00 CZK",Dodávka matrací do pacientských lůžek,"[{'název': 'matrace rozměr 90x200x15 cm, jádro polyuretanová pěna, nepropustný, omyvatelný potah', 'množství': 15, 'cena bez DPH': 4340, 'cena s DPH': 78771}]",30407736,Sc professional
7,Domov pro seniory,27561188,668109,11.07.2024,,"54 692,00 CZK",nákup ložního prádla pro klienty domova pro seniory,"[{'název': 'ložní prádlo', 'množství': None, 'cena bez DPH': 54692, 'cena s DPH': None}, {'název': 'chrániče oděvů', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'podložky', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",29463424,Sc professional
8,Senior-dům Soběslav,26928318,70920567,17.05.2024,"68 000,00 CZK","82 280,00 CZK",ložní souprava 1+1 200 ks,"[{'název': 'ložní souprava', 'množství': 200, 'cena bez DPH': 411.4, 'cena s DPH': 500.0}]",28804378,Sc professional
9,Domov pro seniory Světlo,25251251,70869812,21.12.2023,"66 065,00 CZK","79 938,65 CZK",Objednávka dek z mikroplyše pro klienty,"[{'název': 'deky z mikroplyše', 'množství': 181, 'cena bez DPH': '365,00 Kč', 'cena s DPH': '441,65 Kč'}]",27043143,Sc professional
10,"Domov seniorů Vojkov, poskytovatel sociálních služeb",24962263,71229132,30.11.2023,"50 100,00 CZK","60 621,00 CZK","nákup ložního prádla, prostěradel, bryndáků a podložek","[{'název': 'Nepropustný,pratelný bryndák s absorpční schopností 8,49 1/m2, TISK', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",26717599,Sc professional
11,Domov pro seniory Chýnov,24635927,75011204,06.11.2023,"74 250,00 CZK","89 843,00 CZK",Objednávka č. 320/2023 - ložní soupravy,"[{'název': 'Ložní souprava DAMAŠEK 1+1, barva GOLD, rozměr 140x200,70x90', 'množství': 150, 'cena bez DPH': 74250.0, 'cena s dph': 89843.0}]",26372027,Sc professional
12,"Centrum sociálních služeb Domažlice, příspěvková organizace",24611667,75007754,01.11.2023,"119 400,00 CZK","144 474,00 CZK",600 ks absorpčních podložek 75x90 na lůžka,"[{'název': 'Absorpční podložky 75x90 cm (včetně fixačních křidélek 75x160 cm)', 'množství': 600, 'cena bez DPH': 199, 'cena s DPH': 240.79}]",26346923,Sc professional
13,"Vojenské lesy a statky ČR, s.p.",24511107,205,25.10.2023,"207 130,00 CZK",,Textilní hotelové vybavení - Resort Olšina,"[{'název': 'Ložní prádlo shodné s již dodávaným. Materiál 80/20(ba/PES), podélný pruh 6/24 mm, barva Champagner', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",26241299,Sc professional
