,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,Psychiatrická léčebna Šternberk,29586716,843954,02.01.2025,,"100 000,00 CZK",Objednávka-celoroční na odběr polštářů a přikrývek,"[{'název': 'Polštář', 'množství': None, 'cena bez DPH': 627.0, 'cena s DPH': None}, {'název': 'Přikrývka', 'množství': None, 'cena bez DPH': 734.0, 'cena s DPH': None}]",31609852,V & V Servis CML spol. s r.o.
1,"Domov Sedlčany, poskytovatel sociálních služeb",28927676,42727227,24.10.2024,"74 000,00 CZK",,prostěradla a podložky,"[{'název': 'prostěradlo bílá bavlna do gumy 90 x 200 cm, vyvařovací guma', 'množství': 160, 'cena bez DPH': '42000,00 Kč', 'cena s DPH': None}, {'název': 'podložka bílá bavlna 150x120 cm', 'množství': 250, 'cena bez DPH': '32000,00 Kč', 'cena s DPH': None}]",30916992,V & V Servis CML spol. s r.o.
2,"Domov Sedlčany, poskytovatel sociálních služeb",24304131,42727227,04.10.2023,"98 000,00 CZK",,Objednávka podložek 200 ks a vyvařovacích gum 300 ks,"[{'název': 'prostěradlo bílá bavlna do gumy 90 x 200 cm', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'vyvařovací guma', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'podložka bílá bavlna 150x120 cm', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",26023395,V & V Servis CML spol. s r.o.
3,"Domov pro seniory Frýdek-Místek, příspěvková organizace",24221147,68158025,27.09.2023,,"63 920,00 CZK",Objednávka polštářů a přikrývek,"[{'název': 'Polštář 70x90 cm Sandler, náplň 900 g, celkem 1160 g', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 798.0}, {'název': 'Přikrývka 140x200 cm Sandler, náplň 1100 g, celkem 1656 g', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 800.0}]",25936607,V & V Servis CML spol. s r.o.
4,Psychiatrická léčebna Šternberk,22042369,843954,01.03.2023,"67 450,00 CZK","81 614,50 CZK",Objednávka - letní sety lůžkovin (polštáře + přikrývky),"[{'název': 'Polštář Sandler 102REX+Speciál', 'množství': 55, 'cena bez DPH': '685,00 Kč', 'cena s DPH': '37.675,00 Kč'}, {'název': 'Přikrývka Sandler 102REX+Speciál', 'množství': 55, 'cena bez DPH': '798,90 Kč', 'cena s DPH': '43.939,50 Kč'}]",23646093,V & V Servis CML spol. s r.o.
5,Městská nemocnice Čáslav,21153381,873764,12.12.2022,"98 789,50 CZK","119 535,30 CZK",Potvrzení obj.č.600220384 na ložní prádlo pro MN Čáslav,"[{'název': 'prostěradlo 245x150cm barva bílá', 'množství': 170, 'cena bez DPH': 209.47, 'cena s dph': 350.49}, {'název': 'kapna 210x140 hotel. uzávěr 20 cm', 'množství': 150, 'cena bez DPH': 350.49, 'cena s dph': 580.0}, {'název': 'polštář povlak 90x70 hotel.uzávěr 18 cm', 'množství': 120, 'cena bez DPH': 113.81, 'cena s dph': None}, {'název': 'podložka 150x80 barva bílá', 'množství': 110, 'cena bez DPH': 102.77, 'cena s dph': None}, {'název': 'pytel na pradlo 100x75 materiál 245G/m2', 'množství': 30, 'cena bez DPH': 213.0, 'cena s dph': None}]",22701897,V & V Servis CML spol. s r.o.
6,Městská nemocnice Čáslav,20996909,873764,30.11.2022,"89 308,58 CZK","108 063,39 CZK",Potvrzení obj.č.600220374,"[{'název': 'polštář', 'množství': 77, 'cena bez DPH': None, 'cena s dph': 568.57}, {'název': 'přikrývka', 'množství': 83, 'cena bez DPH': None, 'cena s dph': 774.5}]",22537157,V & V Servis CML spol. s r.o.
7,"Centrum sociálních služeb Znojmo, příspěvková organizace",20838033,45671770,15.11.2022,,"115 337,00 CZK","Lůžkoviny - výplně polštář 70x90cm, přikrývka 140x200cm","[{'název': 'Polštář 90x70cm', 'množství': 70, 'cena bez DPH': 466.0, 'cena s DPH': None}, {'název': 'Přikrývka 140x200cm', 'množství': 100, 'cena bez DPH': 627.0, 'cena s DPH': None}]",22370853,V & V Servis CML spol. s r.o.
8,"Centrum sociálních služeb Znojmo, příspěvková organizace",20837989,45671770,15.11.2022,,"120 008,00 CZK","Lůžkoviny - povlečení polštář 70x90cm a 50x70cm, přikrývka 140x200cm","[{'název': 'Polštář 70x50cm (záhyb 23cm) - mentol', 'množství': 30, 'cena bez DPH': 137.0, 'cena s DPH': None}, {'název': 'Polštář 70x50cm (záhyb 23cm) - žlutý', 'množství': 30, 'cena bez DPH': 137.0, 'cena s DPH': None}, {'název': 'Polštář 70x90cm (záhyb 25cm) - mentol', 'množství': 50, 'cena bez DPH': 155.0, 'cena s DPH': None}, {'název': 'Polštář 70x90cm (záhyb 25cm) - žlutý', 'množství': 50, 'cena bez DPH': 155.0, 'cena s DPH': None}, {'název': 'Přikrývka 140x200cm (záhyb 30cm) - mentol', 'množství': 70, 'cena bez DPH': 539.0, 'cena s DPH': None}, {'název': 'Přikrývka 140x200cm (záhyb 30cm) - žlutá', 'množství': 70, 'cena bez DPH': 539.0, 'cena s DPH': None}]",22370809,V & V Servis CML spol. s r.o.
9,"Domov Sedlčany, poskytovatel sociálních služeb",20681389,42727227,02.11.2022,"99 000,00 CZK",,"Objednávka prostěradel, vyvařovacích gum a podložek z bavlny","[{'název': 'prostěradlo bílá bavlna do gumy 90 x 200 cm', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'vyvařovací guma', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'podložka bílá bavlna 150x120 cm', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",22206713,V & V Servis CML spol. s r.o.
10,"Domov seniorů Uhlířské Janovice, příspěvková organizace",19570251,48677744,13.07.2022,"75 187,52 CZK","90 976,90 CZK",Objednávka ložního prádla,"[{'název': 'Prostěradlo s vyvařovací gumou na 90C, gramáž 160 g/m2, rozměr 90x200x22 cm', 'množství': 200, 'cena bez DPH': None, 'cena s dph': 372.8}, {'název': 'Polštář Sandler 102REX+ Speciál, rozměr 90x70 cm, gramáž 1148 g', 'množství': 30, 'cena bez DPH': None, 'cena s dph': 547.23}]",21035975,V & V Servis CML spol. s r.o.
11,"Centrum sociálních služeb Znojmo, příspěvková organizace",13750689,45671770,02.12.2020,"74 247,20 CZK",,KUPNÍ SMLOUVA lůžkoviny,"[{'název': 'Polštář 70x90cm SANDLER', 'množství': 40, 'cena bez DPH': 371.07, 'cena s DPH': 449.28}, {'název': 'Polštář 50x70cm SANDLER', 'množství': 120, 'cena bez DPH': 310.74, 'cena s DPH': 376.0}, {'název': 'Přikrývka 140x200cm', 'množství': 40, 'cena bez DPH': 552.89, 'cena s DPH': 669.0}]",14763369,V & V Servis CML spol. s r.o.
12,"Domov pro seniory Havlíčkův Brod, příspěvková organizace",7164943,60128071,19.12.2018,"75 421,00 CZK","91 259,00 CZK","ložní povlečení, přehozy přes postel, polštáře","[{'název': 'Ložní povlečení BONY mix vzorů', 'množství': 75, 'cena bez DPH': 350, 'cena s dph': None}, {'název': 'Ložní povlečení ANTEX Monaco', 'množství': 5, 'cena bez DPH': 310, 'cena s dph': None}, {'název': 'Ložní povlečení NIKOL mix vzorů', 'množství': 15, 'cena bez DPH': 300, 'cena s dph': None}, {'název': 'Ložní povlečení MAGDA MA-4', 'množství': 5, 'cena bez DPH': 339, 'cena s dph': None}, {'název': 'Ložní povlečení PRESTIGE PRE-4', 'množství': 10, 'cena bez DPH': 360, 'cena s dph': None}, {'název': 'Přehoz na jednolůžko - mix vzorů', 'množství': 150, 'cena bez DPH': 339, 'cena s dph': None}, {'název': 'Polštář 70x90cm SANDLER', 'množství': 6, 'cena bez DPH': 469, 'cena s dph': None}]",7735983,V & V Servis CML spol. s r.o.
13,"Nemocnice Jablonec nad Nisou, p.o.",5919791,829838,10.08.2018,"56 118,30 CZK",,Objednávka ložního vybavení.,"[{'název': 'polštář Sandler 102REX', 'množství': 110, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'přikrývka Sandler 102REX', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': None}]",6378995,V & V Servis CML spol. s r.o.
14,"Domov Božice, příspěvková organizace",5110803,45671877,28.12.2017,,"47 300,00 CZK",Objednávka povlečení,"[{'název': 'Prádlo, obuv klienti', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",6029047,V & V Servis CML spol. s r.o.
15,"Domov Božice, příspěvková organizace",5110863,45671877,28.12.2017,,"39 063,00 CZK",Objednávka na ručníky a prostěradla,"[{'název': 'Prádlo, obuv klienti', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",6028891,V & V Servis CML spol. s r.o.
16,"Domov Božice, příspěvková organizace",5127503,45671877,28.12.2017,,"56 900,00 CZK",Objednávka na žínky a inkontinenční podložky,"[{'název': 'Prádlo, obuv klienti', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",6029035,V & V Servis CML spol. s r.o.
17,"Domov Božice, příspěvková organizace",5127599,45671877,28.12.2017,,"55 332,00 CZK",Objednávka na přikrývky,"[{'název': 'Přikrývka 140x200cm', 'množství': 87, 'cena bez DPH': None, 'cena s DPH': None}]",6028999,V & V Servis CML spol. s r.o.
18,"Domov Božice, příspěvková organizace",5110443,45671877,28.12.2017,,"54 250,00 CZK",Objednávka na deky,"[{'název': 'Prádlo, obuv klienti', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",6029067,V & V Servis CML spol. s r.o.
19,"Domov Božice, příspěvková organizace",5127551,45671877,28.12.2017,,"39 063,00 CZK",Objednávka na polštáře,"[{'název': 'Polštář 70x90cm', 'množství': 87, 'cena bez DPH': None, 'cena s DPH': None}]",5524939,V & V Servis CML spol. s r.o.
20,"Domov Božice, příspěvková organizace",5127815,45671877,28.12.2017,,"54 250,00 CZK",Objednávka na deky a osušky,"[{'název': 'Osuška Balt', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'a tyrkys', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}]",5525215,V & V Servis CML spol. s r.o.
21,"Domov Božice, příspěvková organizace",5110667,45671877,28.12.2017,,"47 300,00 CZK",Objednávka na povlečení,"[{'název': 'Prádlo, obuv klienti', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",5507283,V & V Servis CML spol. s r.o.
22,Domov pro seniory Krč,3573908,70874212,21.11.2017,"261 690,00 CZK",,Objednávka ložního prádla,"[{'název': 'povlečení Atlasgradl 170 g/m2', 'množství': None, 'cena bez DPH': 466.12, 'cena s DPH': 564.0}, {'název': 'prostěradlo froté 100x200x20cm', 'množství': None, 'cena bez DPH': 189.26, 'cena s DPH': 229.0}]",4240668,V & V Servis CML spol. s r.o.
23,Domov pro seniory Ďáblice,3085422,70875839,06.09.2017,"179 339,00 CZK","217 000,00 CZK",Objednávka 200 ks polštářů a 200 ks přikrývek pro DS Ďáblice.,"[{'název': 'polštáře 70x90 cm DH102-REX', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'přikrývky 140x200', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': None}]",3324814,V & V Servis CML spol. s r.o.
24,Nemocnice Slaný,822217,875295,13.12.2016,"89 311,57 CZK","108 067,00 CZK",nákup prádla,"[{'název': 'Rouška operační zelená 90x90cm', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Povlak na polštář – modrý pruh', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Podložka 140x170cm – žlutý pruh', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo 140x260cm – modrý pruh', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Povlak na přikrývku 140x210cm – modrý pruh', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Rouška operační zelená 140x180cm', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polštář 40x60cm SANDLER', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Polštář 70x90cm SANDLER', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Přikrývka 140x200cm bílá', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",874885,V & V Servis CML spol. s r.o.
25,"Domov seniorů Uhlířské Janovice, příspěvková organizace",695333,48677744,01.12.2016,"85 983,00 CZK","104 039,43 CZK",Koupě ložního vybavení,"[{'název': 'prostěradlo s keprovou vazbou, rozměr 200x90x22 cm, barva 233 světle žlutá', 'množství': 120, 'cena bez DPH': 232.23, 'cena s DPH': None}, {'název': 'prostěradlo s keprovou vazbou, rozměr 200x90x22 cm, barva 620 bleděmodrá', 'množství': 120, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo s keprovou vazbou, rozměr 200x90x22 cm, barva 600 zelená', 'množství': 60, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'inkontinenční podložka', 'množství': 60, 'cena bez DPH': 271.9, 'cena s DPH': None}]",738869,V & V Servis CML spol. s r.o.
26,Nemocnice Slaný,543613,875295,07.07.2016,"66 487,60 CZK","80 450,00 CZK",DD16050,"[{'název': 'Polštář 30x70cm SANDLER', 'množství': 3, 'cena bez DPH': '253,00', 'cena s DPH': '759,00'}, {'název': 'Inkontinenční podložka', 'množství': 1, 'cena bez DPH': '205,00', 'cena s DPH': '205,00'}]",578877,V & V Servis CML spol. s r.o.
27,Domov pro seniory Kobylisy,472421,70872996,07.10.2016,"190 976,00 CZK","231 081,00 CZK",Nákup polštářů a přikrývek,"[{'název': 'polštáře Sandler 102REX+speciál', 'množství': 230, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'přikrývky Sandler 102REX+speciál', 'množství': 230, 'cena bez DPH': None, 'cena s DPH': None}]",502797,V & V Servis CML spol. s r.o.
28,DOMOV PRO SENIORY CHODOV,355225,70876606,10.10.2016,,"111 950,00 CZK",ložní prádlo,"[{'název': 'polštář Sandler 102REX+ Speciál 70 x90', 'množství': 210, 'cena bez DPH': None, 'cena s dph': 419}, {'název': 'přikrývka Sandler 102REX Speciál 140x 200', 'množství': 40, 'cena bez DPH': None, 'cena s dph': 599}]",378641,V & V Servis CML spol. s r.o.
