,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,"Domov Sedlčany, poskytovatel sociálních služeb",29534196,42727227,09.12.2024,"144 594,00 CZK",,Objednávka lůžkovin,"[{'název': 'bavlněné povlečení LUX lososové ornamenty', 'množství': 7, 'cena bez DPH': '42 658,00 Kč', 'cena s dph': None}]",31564728,Zdeněk Staněk
1,Střední průmyslová škola a Gymnázium Na Třebešíně,29144224,61385417,21.11.2024,,"95 640,00 CZK",dodávka povlečení,"[{'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, béžovo-oranžové ornamenty', 'množství': 44, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, labyrint', 'množství': 61, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, kapka zelená a hnědá', 'množství': 18, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo bavlněné', 'množství': 122, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ručník', 'množství': 60, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Utěrka', 'množství': 20, 'cena bez DPH': None, 'cena s dph': None}]",31145800,Zdeněk Staněk
2,"Domov Barbora Kutná Hora, poskytovatel sociálních služeb",28843800,48677752,04.11.2024,"80 446,28 CZK","97 340,00 CZK",Nákup povlečení Atlas gradl,"[{'název': 'ložní souprava Atlas gradl zelené barvy', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'ložní souprava Atlas gradl meruňkové barvy', 'množství': 76, 'cena bez DPH': None, 'cena s DPH': None}]",30829560,Zdeněk Staněk
3,Institut klinické a experimentální medicíny,27567876,23001,11.07.2024,,"204 490,00 CZK",Objednávka - Referát materiálně technického zabezpečení,"[{'název': 'Deka 140 x 200 cm, 1150g, celoroční, CLASSIC-Přikrývka Comfort odlehčená', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Polštář 70 x 90 cm, 700g, COMFORT se zipem a vakem', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Deka 140 x 200 cm, 960g, celoroční, BASIC- Přikrývka Summer', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Polštář 40 x 40 cm, 210g, COMFORT se zipem', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",29470528,Zdeněk Staněk
4,"3. mateřská škola, Most, příspěvková organizace",27510212,49872214,27.06.2024,"52 339,64 CZK","63 331,00 CZK","dodávka - lůžkoviny, prostěradla, ručníky, utěrky - ALB","[{'název': 'Ochranný potah 60x130 cm na matraci/lehátko, Vypuštěné rohy', 'množství': 25, 'cena bez DPH': 250.0, 'cena s DPH': 1084.71}, {'název': 'Prostěradlo froté 58x133 cm na lehátko (v rozích vypuštěné gumy), Rozměr 60x140 cm, Světle šedá', 'množství': 25, 'cena bez DPH': 205.0, 'cena s DPH': 889.46}, {'název': 'Poštovné', 'množství': None, 'cena bez DPH': 3160.0, 'cena s DPH': 396.69}]",29409672,Zdeněk Staněk
5,Městská část Praha 22,27401180,240915,26.06.2024,"113 851,00 CZK","137 760,00 CZK",MŠ Nad Volyňkou - vybavení,"[{'název': None, 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",29295660,Zdeněk Staněk
6,"Střední odborná škola a Střední odborné učiliště, Písek, Komenského 86",26790843,511382,13.05.2024,"61 157,02 CZK","74 000,00 CZK","polštářky, televizní přehozy","[{'název': 'televizní přehozy', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'polštářky', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}]",28661127,Zdeněk Staněk
7,"Mateřská škola Mydlinky v Praze 12, příspěvková organizace",26154955,17312213,11.03.2024,,,Smlouva o vypořádání závazků,"[{'název': 'lůžkoviny a ložní prádlo, ručníky a utěrky', 'množství': None, 'cena bez DPH': 139150.0, 'cena s DPH': 168371.5}]",27997011,Zdeněk Staněk
8,"Centrum sociálních služeb Děčín, příspěvková organizace",26079971,71235868,08.03.2024,"95 158,67 CZK","115 100,00 CZK","Nákup textilu (utěrky, ručníky, přikrývky, polštáře, deky, ložní soupravy, ubrusy)","[{'název': 'textil dle cenové nabídky NAB240017', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",27917951,Zdeněk Staněk
9,Česká republika - Ministerstvo obrany,25822459,60162694,13.02.2024,,"180 290,00 CZK","54/2024-VL, SP č. 46367, Nákup ložního prádla","[{'název': 'Prostěradlo bavlněné bílé bez gumy-tzv. plachta', 'množství': 300, 'cena bez DPH': 180.0, 'cena s DPH': 217.8}, {'název': 'Prostěradlo bavlněné khaki bez gumy-tzv. plachta', 'množství': 500, 'cena bez DPH': 190.0, 'cena s DPH': 229.9}]",27646447,Zdeněk Staněk
